date,total_trade_amount,cash_trade_amount,cash_ratio,cash_model_percent,cash_vs_model_diff,total_securities,num_sleeves
2025-05-23,351269.9,52742.74,0.1501,11.81,3.2,43,2
2025-05-24,362539.8,71814.52,0.1981,34.42,-14.61,37,2
2025-05-25,245656.63,45997.03,0.1872,15.3,3.42,52,4
2025-05-26,129932.05,38091.44,0.2932,22.82,6.5,54,8
2025-05-27,225726.02,17901.04,0.0793,26.37,-18.44,52,9
2025-05-28,155912.44,34648.37,0.2222,27.21,-4.99,33,5
2025-05-29,214432.87,59859.46,0.2792,16.21,11.71,39,2
2025-05-30,494117.69,157178.14,0.3181,28.31,3.5,16,3
2025-05-31,95214.19,9895.5,0.1039,7.31,3.08,20,5
2025-06-01,255899.97,68679.34,0.2684,8.47,18.37,19,5
2025-06-02,344798.83,127866.76,0.3708,8.27,28.81,42,8
2025-06-03,264547.71,69976.33,0.2645,8.62,17.83,23,2
2025-06-04,305499.46,73556.27,0.2408,15.28,8.8,32,2
2025-06-05,347743.28,123198.23,0.3543,13.03,22.4,44,3
2025-06-06,297108.91,79837.98,0.2687,25.24,1.63,11,8
2025-06-07,164333.56,59470.37,0.3619,10.41,25.78,59,7
2025-06-08,56899.13,20475.97,0.3599,23.82,12.17,40,2
2025-06-09,17903.31,4619.97,0.2581,21.7,4.11,27,9
2025-06-10,63185.72,14474.53,0.2291,32.29,-9.38,6,4
2025-06-11,187920.99,65629.62,0.3492,26.34,8.58,6,5
2025-06-12,123337.73,22578.35,0.1831,21.47,-3.16,43,9
2025-06-13,12025.97,3286.79,0.2733,6.73,20.6,41,8
2025-06-14,438775.06,66871.8,0.1524,27.88,-12.64,50,9
2025-06-15,280501.42,37611.49,0.1341,31.54,-18.13,15,2
2025-06-16,284148.81,81628.54,0.2873,29.27,-0.54,46,9
2025-06-17,416265.19,70155.17,0.1685,21.57,-4.72,51,8
2025-06-18,265551.2,13527.4,0.0509,34.65,-29.56,51,4
2025-06-19,153319.81,35570.74,0.232,32.06,-8.86,22,4
2025-06-20,360443.73,83322.53,0.2312,15.56,7.56,8,8
2025-06-21,493864.38,85090.47,0.1723,29.79,-12.56,40,6
2025-06-22,110226.0,22896.45,0.2077,21.43,-0.66,41,5
2025-06-23,155461.78,58244.45,0.3747,22.07,15.4,42,2
2025-06-24,379227.74,117428.53,0.3097,6.46,24.51,7,5
2025-06-25,196940.93,65499.51,0.3326,29.33,3.93,39,6
2025-06-26,496380.68,95213.17,0.1918,10.71,8.47,7,9
2025-06-27,207643.86,23543.37,0.1134,6.44,4.9,6,8
2025-06-28,140296.49,50292.29,0.3585,22.52,13.33,43,6
2025-06-29,94042.36,6565.76,0.0698,9.71,-2.73,45,6
2025-06-30,225915.05,65367.41,0.2893,11.18,17.75,24,2
2025-07-01,462991.09,36053.06,0.0779,19.56,-11.77,19,8
2025-07-02,285487.01,26488.98,0.0928,11.04,-1.76,29,2
2025-07-03,405889.72,21349.49,0.0526,21.55,-16.29,52,6
